epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2825.82,0.96727,0.54455,1.01429,0.60228,0.54545,0.45474,0.12398,2.86377,2.95804,3.46506,0.00050105,0.00050105,0.00050105
57,2878.96,1.02432,0.60199,1.06287,0.60228,0.54545,0.45474,0.12398,2.86377,2.95804,3.46506,0.000499072,0.000499072,0.000499072
58,2930.68,1.03422,0.61257,1.0623,0.70476,0.69697,0.64758,0.22682,2.37933,2.27781,2.53233,0.000496698,0.000496698,0.000496698
59,2984.64,1.0519,0.57845,1.04273,0.70476,0.69697,0.64758,0.22682,2.37933,2.27781,2.53233,0.000493928,0.000493928,0.000493928
60,3037.75,1.05979,0.57157,1.00869,0.70476,0.69697,0.64758,0.22682,2.37933,2.27781,2.53233,0.000490762,0.000490762,0.000490762
61,3088.85,0.97593,0.53985,1.06843,0.72244,0.66667,0.64132,0.22241,2.55619,2.20424,2.93134,0.0004872,0.0004872,0.0004872
62,3139.23,0.96951,0.5495,1.02807,0.72244,0.66667,0.64132,0.22241,2.55619,2.20424,2.93134,0.000483242,0.000483242,0.000483242
63,3186.54,1.00625,0.57903,1.04112,0.72244,0.66667,0.64132,0.22241,2.55619,2.20424,2.93134,0.000478888,0.000478888,0.000478888
64,3234.3,0.92125,0.5553,0.97402,0.79775,0.75758,0.79791,0.24171,2.58349,2.03764,2.98583,0.000474138,0.000474138,0.000474138
65,3286.94,1.05343,0.57425,1.09936,0.79775,0.75758,0.79791,0.24171,2.58349,2.03764,2.98583,0.000468992,0.000468992,0.000468992
66,3335.86,1.13243,0.65774,1.15542,0.79775,0.75758,0.79791,0.24171,2.58349,2.03764,2.98583,0.00046345,0.00046345,0.00046345
67,3387.72,0.91074,0.50918,0.9847,0.74816,0.81036,0.71625,0.25317,2.29394,1.6162,2.51314,0.000457512,0.000457512,0.000457512
68,3438.52,1.04392,0.56982,1.03118,0.74816,0.81036,0.71625,0.25317,2.29394,1.6162,2.51314,0.000451178,0.000451178,0.000451178
69,3490.28,1.00634,0.55806,1.01619,0.74816,0.81036,0.71625,0.25317,2.29394,1.6162,2.51314,0.000444448,0.000444448,0.000444448
70,3542.85,0.97567,0.58792,1.02931,0.731,0.78788,0.71983,0.24855,2.22555,1.43309,2.51551,0.000437322,0.000437322,0.000437322
71,3593.68,0.94161,0.55186,0.99319,0.731,0.78788,0.71983,0.24855,2.22555,1.43309,2.51551,0.0004298,0.0004298,0.0004298
72,3643.78,0.999,0.62912,1.11731,0.731,0.78788,0.71983,0.24855,2.22555,1.43309,2.51551,0.000421882,0.000421882,0.000421882
73,3693.94,0.9546,0.55234,1.02712,0.82913,0.81818,0.77375,0.31805,2.15882,1.36268,2.30027,0.000413568,0.000413568,0.000413568
74,3744.55,0.90346,0.49945,1.00908,0.82913,0.81818,0.77375,0.31805,2.15882,1.36268,2.30027,0.000404858,0.000404858,0.000404858
75,3796.3,0.88255,0.52651,0.9919,0.82913,0.81818,0.77375,0.31805,2.15882,1.36268,2.30027,0.000395752,0.000395752,0.000395752
76,3848.28,0.8571,0.48243,0.9847,0.82836,0.81818,0.77069,0.35864,2.07471,1.39244,2.07701,0.00038625,0.00038625,0.00038625
77,3896.75,0.84222,0.53147,0.95726,0.82836,0.81818,0.77069,0.35864,2.07471,1.39244,2.07701,0.000376352,0.000376352,0.000376352
78,3946.34,0.85892,0.51207,1.01857,0.82836,0.81818,0.77069,0.35864,2.07471,1.39244,2.07701,0.000366058,0.000366058,0.000366058
79,3997.33,0.80584,0.53693,1.00132,0.86673,0.84848,0.81254,0.37356,1.98717,1.20456,2.00614,0.000355368,0.000355368,0.000355368
80,4047.98,0.79686,0.46648,0.94347,0.86673,0.84848,0.81254,0.37356,1.98717,1.20456,2.00614,0.000344282,0.000344282,0.000344282
81,4099.14,0.89198,0.49298,1.01142,0.86673,0.84848,0.81254,0.37356,1.98717,1.20456,2.00614,0.0003328,0.0003328,0.0003328
82,4150.36,0.85296,0.52684,0.96773,0.7955,0.82528,0.79325,0.37378,1.97108,1.14143,2.03639,0.000320922,0.000320922,0.000320922
83,4200.85,0.78718,0.48772,0.94625,0.7955,0.82528,0.79325,0.37378,1.97108,1.14143,2.03639,0.000308648,0.000308648,0.000308648
84,4252.29,0.69907,0.46262,0.92308,0.7955,0.82528,0.79325,0.37378,1.97108,1.14143,2.03639,0.000295978,0.000295978,0.000295978
85,4303.91,0.7964,0.46798,0.95874,0.77793,0.74334,0.76912,0.35816,1.97339,1.20372,2.01588,0.000282912,0.000282912,0.000282912
86,4354.2,0.7988,0.49236,0.95812,0.77793,0.74334,0.76912,0.35816,1.97339,1.20372,2.01588,0.00026945,0.00026945,0.00026945
87,4404.55,0.73033,0.47524,0.92767,0.77793,0.74334,0.76912,0.35816,1.97339,1.20372,2.01588,0.000255592,0.000255592,0.000255592
88,4453.14,0.67425,0.42677,0.91408,0.82984,0.75758,0.77421,0.35896,1.93589,1.23188,1.95346,0.000241338,0.000241338,0.000241338
89,4505.12,0.77596,0.45455,0.97494,0.82984,0.75758,0.77421,0.35896,1.93589,1.23188,1.95346,0.000226688,0.000226688,0.000226688
90,4558.03,0.69202,0.43817,0.91662,0.82984,0.75758,0.77421,0.35896,1.93589,1.23188,1.95346,0.000211642,0.000211642,0.000211642
91,4621.96,0.76429,0.52232,0.96902,0.83502,0.78788,0.7815,0.39606,1.87872,1.12906,1.8762,0.0001962,0.0001962,0.0001962
92,4675.16,0.68818,0.42243,0.93674,0.83502,0.78788,0.7815,0.39606,1.87872,1.12906,1.8762,0.000180362,0.000180362,0.000180362
93,4729.33,0.69958,0.4621,0.92383,0.83502,0.78788,0.7815,0.39606,1.87872,1.12906,1.8762,0.000164128,0.000164128,0.000164128
94,4783.31,0.70608,0.4711,0.91276,0.83502,0.78788,0.7815,0.39606,1.87872,1.12906,1.8762,0.000147498,0.000147498,0.000147498
95,4836.63,0.71872,0.49085,0.90044,0.88111,0.78788,0.79553,0.39679,1.87442,1.02291,1.84858,0.000130472,0.000130472,0.000130472
96,4890.88,0.77868,0.44545,0.99207,0.88111,0.78788,0.79553,0.39679,1.87442,1.02291,1.84858,0.00011305,0.00011305,0.00011305
97,4943.57,0.72215,0.44845,0.98148,0.88111,0.78788,0.79553,0.39679,1.87442,1.02291,1.84858,9.5232e-05,9.5232e-05,9.5232e-05
98,4996.6,0.82234,0.49222,0.93957,0.88111,0.78788,0.79553,0.39679,1.87442,1.02291,1.84858,7.7018e-05,7.7018e-05,7.7018e-05
99,5050.34,0.62122,0.41547,0.88298,0.86037,0.81818,0.80506,0.40819,1.88042,0.9661,1.8357,5.8408e-05,5.8408e-05,5.8408e-05
100,5104.66,0.69641,0.41571,0.89708,0.86037,0.81818,0.80506,0.40819,1.88042,0.9661,1.8357,3.9402e-05,3.9402e-05,3.9402e-05
